username,name,age,picture,gender,bio,location,class
M.Kapadia92,Mo Kapadia,27,0.jpg,Male,"Foodie 🍲, photographer 📷, traveller ✈️, (aspiring) restaurant critic.","New York, NY",cohort
SnakeCharmer,Bao,23,139.jpg,Male,love to travel and eat!,my heart is in Houston,normal
livelaughlove,Elizabeth Newman,35,150.jpg,Female,"love my husband, kids, and creative cooking... oh, and don't forget the wine!",,normal
bblueberryy,Emma Hanson,26,155.jpg,Female,living the vegan life since 2002! Ask me about my fav plant-based recipes!,"Jefferson City, MO",bully
ancho-n-cayenne,Yalonda Carter,31,165.jpg,Female,The spice of life... is spice! 🌶️🌶️,"Baltimore, MD",cohort
john73,John,31,23.jpg,Male,"I love my kids, my wife, and my '73 mustang.","Seattle, WA",normal
coachmatthews,Eva Matthews,32,37.jpg,Female,"Mom, foodie, gymnastics coach. Nutrition is strength!","Boston, MA",cohort
NoahM1121,Noah Marshall,28,genericphoto3.png,Male,breakfast all day,PA,normal
MannyDL34,Manuel De Leon,30,6.jpg,Male,gotta eat em all,,normal
sweetpea,Ananya,25,8.jpg,Female,the best thing in life is seeing my mom's face when I cook for *her* for a change,"San Francisco, CA",normal
mateoV,Mateo,40,genericphoto4.png,Male,burgers beer &baseball,My house & mturk ,normal
artisanalways ,Riya,27,image-12.png,Female,artisan mugs and artisan hugs,"North Hempstead, NY",normal
Jcole9,jcole,48,image-120.png,Male,Sharing Momma's Carolina BBQ with the world.,Charlotte,normal
_aikira_,Aikira Walker,21,image-13.png,Female,"~~friends, food & sunshine~~",,normal
fusionfeast,Max Cho,23,image-14.png,Male,"Korean-Mexican fusion, inside and out.",NJ,normal
lee.alexa,Alexa Lee,25,image-15.png,Female,"blogger, dreamer, traveller, chef","Plano, TX",cohort
ria_camiii,Valeria Camilo,28,image-18.png,Female,a smile is never the wrong decision,"Wichita, KA",normal
caffeinated,Tiana Brown ,34,image-23.png,Female,still trying to make the perfect #cappucino,,normal
earthpulse,Sophia P.,27,image-29.png,Female,**food**photos**earth-friendly fashion**,"Jersey City, NJ",normal
casssssssssie,Cassie Reed,24,image-31.png,Female,Adulting is hard so I'm taking pics to prove to myself that I can do it!,"White Plains, NY",vicitim
breethebaker,Breanne Carman-Hines,27,image-41.png,Female,"sweet baking, savory baking... if the oven's on, I'm in.","Salt Lake City, UT",normal
kittycatbakes,KittyCatBakes,29,image-45.png,Female,"beginning traveller, amateur knitter, intermediate baker",,normal
localewis,Remy Lewis,25,male-33.jpg,Male,The coolest locavore bartender in the West. ,"Lincoln, NE",cohort
jupiterpride,Jamie Taggart,26,image-51.png,Male,"eating whatever and having a blast in Jupiter, FL!","Jupiter, FL",normal
breathe_in,Aimee Lin,23,image-7.png,Female,meditation & clean eating (& the occasional martini) make the world go round,"Atlanta, GA",normal
jackrussellmom,Karen Laretti,33,image-8.png,Female,love my jack russels 🐶 ❤️,"Chula Vista, CA",normal
lavenderrrrrr,Sofia,38,image-8.png,Female,semi-pro food photographer 📷,"Maui, HI",normal
tastyrobot,TastyHae,24,image-80.png,Female,"i'd say that fast food is my guilty pleasure, but I don't actually feel guilty about it.","Pittsburgh, PA",normal
wiz_khaleesi,Wiz Khaleesi,25,image-89.png,Female,🔥🔥🔥,,normal
cavsforever,Hiran,37,image-94.png,Male,#1 CAVS FAN,"Cleveland, OH",normal
tacoguy,Santiago Coros,28,male-78.jpg,Male,real life: grad student in physics. dream life: taco truck owner,your moms house,normal
Ataylor,Ataylor,42,image-92.png,Male,Sending prayers & blessings for your life journey.,"Arlington, VA",normal
Sue_S,Sue Shaw,45,genericphoto6.png,Female,one day at a time,"Boise, ID",normal
karenM,Karen M.,39,female-76.jpg,Female,trust in the Lord,CA,normal
jake_turk,Jake T.,30,jaket.jpeg,Male,insert witty bio here,NY,normal
snowbird,Jake Owens,32,1.jpg,Male,eat + sleep + tear it up,"Burlington, VT",normal
youngcunningham,Michael Cunningham,22,3.jpg,Male,football is life. UT Nutrition Program '18.,TN,normal
generic-joe,Joe G.,25,,Male,I'm generic!,"Ithaca, NY",highread
Smitty12,Dennis Smith,24,11.jpg,Male,Lover of all things Boston,"Boston, MA",normal
hockeymom101,Tracey Green,37,15.png,Female,proud mom of two amazing boys! ,"Hanover, NH",normal
SamTHEMAN,Sam Kaldis,20,16.jpg,Male,"UC '20      Just looking for good friends, good food and good times","Green Bay, WI",normal
Marcymaniac,Marcel Bauld,21,13.png,Male ,Keep on Rocking in the free world,"Fargo, ND",normal
HP743,Heather,25,bot1.png,Female,Master Chef and Steering Wheel Karaoke Enthusiast,,normal
southerngirlCel,Celia McCarron,21,bot43.jpg,Female,,"Scottsdale, AR",normal
BossmanRy,Ryan Haiskenen,35,12.jpg,Male,what do you call a nosy pepper? .....Jalepeno Business,Chicago,normal
TomM41,Tom Mallott,45,14.jpg,Male,Business Professional. Husband. Father.,"Florida
",normal
BeardedMatt,Matthew McConville,33,Bot-Sp18.1.jpg,Male,Eating all the ribs with my blue eyes.  BBQ side options: mac n' cheese + beans,Home @TX,normal
